box_office,film_actor,film_director,film_name,film_theme,img,release_time,score
1.25亿,"大鹏,范伟,张天爱,乔杉",袁卫东,父子雄兵,"剧情,喜剧",https://p1.meituan.net/movie/abc5dc03f2dd3768d979083ca3a22582149521.jpg@464w_644h_1e_1c,2017-07-21,8.0
7954万,"郭富城,赵丽颖,张翰,任达华",钟少雄,密战,"剧情,动作,战争",https://p1.meituan.net/movie/66b96e1da8117d1b69961d0634cf6ee0637593.jpg@464w_644h_1e_1c,2017-11-03,8.2
5447万,"王迅,曾志伟,梁超,潘斌龙",王丹,这就是命,"喜剧,犯罪",https://p0.meituan.net/movie/e19b289fc831e11e630daadcec719a61332492.jpg@464w_644h_1e_1c,2017-12-01,8.1
2.37亿,"刘德华,舒淇,张静初,杨祐宁",冯德伦,侠盗联盟,"动作,冒险,犯罪",https://p0.meituan.net/movie/68c6282607ed0e9cabe0484a278b4ffd338708.jpg@464w_644h_1e_1c,2017-08-11,8.1
3233万,"李立群,张伟欣,黄磊,海清",黄磊,麻烦家族,"剧情,喜剧,家庭",https://p1.meituan.net/movie/1228088b25b9bf36082730d1c13f8820262846.jpg@464w_644h_1e_1c,2017-05-11,7.6
3299万,"李微漪,亦风",亦风,重返·狼群,纪录片,https://p1.meituan.net/movie/917e0a664d6bf31f2f20dc75dfd19695192419.jpg@464w_644h_1e_1c,2017-06-16,9.2
1.24亿,"黄彦威,迪丽热巴,张云龙,高伟光",李海蜀,傲娇与偏见,"喜剧,爱情",https://p0.meituan.net/movie/f0cfd38f05f52d6daaca212c2664db1a1770451.jpg@464w_644h_1e_1c,2017-04-20,9.0
2.19亿,"张智霖,梅婷,钟欣潼,耿乐",钱人豪,京城81号2,"剧情,惊悚,悬疑",https://p0.meituan.net/movie/e021b51c149f21a381ba93001272dd0a494508.jpg@464w_644h_1e_1c,2017-07-06,5.9
3041万,"景甜,欧豪,黑木明纱,林遣都",蒋卓原,青禾男高,"剧情,喜剧,动作",https://p0.meituan.net/movie/f633e97639c3697725a2bd2d3b491bff508139.jpg@464w_644h_1e_1c,2017-07-12,7.8
308万,"陈圆,刘俐儿,宋伟,聂晶磊",陆诗雨,碟仙之毕业照,"恐怖,惊悚,悬疑",https://p0.meituan.net/movie/adf68d56594eccc4b33d714dbc1ae3521024750.jpg@464w_644h_1e_1c,2017-06-09,5.7
2946万,"刘亦菲,埃米尔·赫斯基,李芳淙,严屹宽",比利·奥古斯特,烽火芳菲,"爱情,战争,历史",https://p0.meituan.net/movie/120790f2b32d04811eb049842adcd09d219473.jpg@464w_644h_1e_1c,2017-11-10,8.0
